Timestamp,Apartment,Estella E 1106 - Common Geyser,Estella E 1106 - Common Toilet Lighting,Estella E 1106 - Dining Lights and Fans,Estella E 1106 - ELV DB Point,Estella E 1106 - Fridge,Estella E 1106 - Kitchen Lights and Fans,Estella E 1106 - Living AC Point,Estella E 1106 - Living Lights and Fans,Estella E 1106 - Master Bed AC,Estella E 1106 - Master Bed Lights and Fans,Estella E 1106 - Master Bed Toilet Lights and Fans,Estella E 1106 - Master Geyser,Estella E 1106 - Others,Estella E 1106 - Oven Point,Estella E 1106 - Spare,Estella E 1106 - Washing Machine
2025-09-13 16:25:00,Estella E 1106,,,0.10115,,,0.0,0.0,0.03846,,,,,,0.0,0.00083,
2025-09-13 16:30:00,Estella E 1106,0.0,0.0,0.10137,0.0,0.04843,0.0,0.0,0.0385,,,,,,0.0,0.00026000000000000003,0.0
2025-09-13 16:35:00,Estella E 1106,0.0,0.0,0.10144,0.0,0.047170000000000004,0.0,0.0,0.03842,0.0,0.0,0.0,0.0,0.19412000000000001,0.0,0.0002,0.0
2025-09-13 16:40:00,Estella E 1106,0.0,0.0,,0.0,0.04639,,,,0.0,0.0,0.0,0.0,0.15268,,0.0,0.0
2025-09-13 16:45:00,Estella E 1106,0.0,0.0,,0.0,0.045200000000000004,,,,0.00962,0.0,0.0,0.0,0.16204,,0.0,0.0
2025-09-13 16:50:00,Estella E 1106,0.0,0.0,0.019260000000000003,0.0,0.04458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06903000000000001,0.0,0.00026000000000000003,0.0
2025-09-13 16:55:00,Estella E 1106,0.0,0.0,,0.0,0.04237,,,,0.0,0.0,0.0,0.0,0.06756999999999999,,0.0,0.0
2025-09-13 17:00:00,Estella E 1106,0.0,0.0,0.019440000000000002,0.0,0.04158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06652,0.0,0.00019,0.0
2025-09-13 17:05:00,Estella E 1106,0.0,0.0,,0.0,0.04084,,,,0.0,0.0,0.0,0.0,0.06516,,0.0,0.0
2025-09-13 17:10:00,Estella E 1106,0.0,0.0,0.01941,0.0,0.040530000000000004,0.0,0.0,0.0,0.0,0.0,0.039560000000000005,0.0,0.10434,0.0,0.00011999999999999999,0.0
2025-09-13 17:15:00,Estella E 1106,0.0,0.0,,0.0,0.039700000000000006,,,,0.0,0.0,0.038799999999999994,0.0,0.10333,,0.0,0.0
2025-09-13 17:20:00,Estella E 1106,0.0,0.0,,0.0,0.039520000000000007,,,,0.0,0.0,0.03836,0.0,0.10272,,0.0,0.0
2025-09-13 17:25:00,Estella E 1106,0.0,0.0,,0.0,0.03903,,,,0.0,0.0,0.03811,0.0,0.10185,,0.0,0.0
2025-09-13 17:30:00,Estella E 1106,0.0,0.0,,0.0,0.038579999999999996,,,,0.0,0.0,0.038259999999999995,0.0,0.10159,,0.0,0.0
2025-09-13 17:35:00,Estella E 1106,0.0,0.0,,0.0,0.03823,,,,0.0,0.0,0.03782,0.0,0.10045,,0.0,0.0
2025-09-13 17:40:00,Estella E 1106,0.0,0.0,,0.0,0.03774,,,,0.0,0.0,0.03796,0.0,0.10041,,0.0,0.0
2025-09-13 17:45:00,Estella E 1106,0.0,0.0,,0.0,0.0378,,,,0.0,0.0,0.03755,0.0,0.09981999999999999,,0.0,0.0
2025-09-13 17:50:00,Estella E 1106,0.0,0.0,,0.0,0.03741,,,,0.0,0.0,0.03748,0.0,0.09954,,0.0,0.0
2025-09-13 17:55:00,Estella E 1106,0.0,0.0,,0.0,0.03703,,,,0.0,0.0,0.03748,0.0,0.09897,,0.0,0.0
2025-09-13 18:00:00,Estella E 1106,0.0,0.0,,0.0,0.0368,,,,0.0,0.0,0.03757,0.0,0.09895999999999999,,0.0,0.0
2025-09-13 18:05:00,Estella E 1106,0.0,0.0,,0.0,0.03675,,,,0.0,0.0,0.038149999999999996,0.0,0.14540999999999998,,0.0,0.0
2025-09-13 18:10:00,Estella E 1106,0.0,0.0,,0.0,0.00017999999999999998,,,,0.0,0.0,0.03803,0.0,0.14406,,0.0,0.0
2025-09-13 18:15:00,Estella E 1106,0.0,0.0,,0.0,0.00023999999999999998,,,,0.0,0.0,0.038270000000000005,0.0,0.10875,,0.0,0.0
2025-09-13 18:20:00,Estella E 1106,0.0,0.0,,0.0,0.0002,,,,0.0,0.0,0.038310000000000004,0.0,0.10881,,0.0,0.0
2025-09-13 18:25:00,Estella E 1106,0.0,0.0,,0.0,0.00033,,,,0.00956,0.0,0.03799,0.0,0.11757,,0.0,0.0
2025-09-13 18:30:00,Estella E 1106,0.0,0.0,0.01948,0.0,0.03836,0.0,0.0,0.04288,0.00939,0.0,0.037899999999999996,0.0,0.16534000000000001,0.0,0.00014000000000000001,0.0
2025-09-13 18:35:00,Estella E 1106,0.0,0.0,0.019579999999999997,0.0,0.039310000000000005,0.00908,0.0,0.04281,0.0,0.0,0.03789,0.0,0.15559,0.0,8e-05,0.0
2025-09-13 18:40:00,Estella E 1106,0.0,0.0,0.10319,0.0,0.03975,0.00876,0.0,0.0,0.0,0.0,0.037689999999999994,0.0,0.19537000000000002,0.0,7.000000000000001e-05,0.0
2025-09-13 18:45:00,Estella E 1106,0.0,0.00886,0.10244,0.0,0.038380000000000004,0.00883,0.0,0.0,0.0,0.0,0.03756,0.0,0.19337000000000001,0.0,1e-05,0.0
2025-09-13 18:50:00,Estella E 1106,0.0,0.0,0.10178,0.0,0.03778,0.00872,0.0,0.04075,,,,,,0.0,0.00016,0.0
2025-09-13 18:55:00,Estella E 1106,0.0,0.0,,0.0,0.03719,,,,,,,,,,0.0,0.0
2025-09-13 19:00:00,Estella E 1106,0.0,0.0,,0.0,0.0367,,,,0.0,0.0,0.03791,0.0,0.19222999999999998,,0.0,0.0
2025-09-13 19:05:00,Estella E 1106,0.0,0.0,0.10158,0.0,0.03644,0.00868,0.0,0.0,,,,,,0.0,0.00011,0.0
2025-09-13 19:10:00,Estella E 1106,0.0,0.0,0.10155,0.0,0.03616,0.00874,0.0,0.0,,,,,,0.0,0.00033,0.0
2025-09-13 19:15:00,Estella E 1106,0.0,0.0,0.10164,0.0,0.00019,0.00877,0.0,0.0,,,,,,0.0,0.00017999999999999998,0.0
2025-09-13 19:20:00,Estella E 1106,0.0,0.0,,0.0,0.0002,,,,,,,,,,0.0,0.0
2025-09-13 19:25:00,Estella E 1106,0.0,0.0,,0.0,0.00025,,,,,,,,,,0.0,0.0
2025-09-13 19:30:00,Estella E 1106,0.0,0.0,,0.0,0.05258,,,,,,,,,,0.0,0.0
2025-09-13 19:35:00,Estella E 1106,0.0,0.0,,0.0,0.040119999999999996,,,,0.0,0.0,0.0,0.0,0.15653999999999998,,0.0,0.0
2025-09-13 19:40:00,Estella E 1106,0.0,0.0,,0.0,0.0405,,,,0.0,0.0,0.0,0.0,0.18397,,0.0,0.0
2025-09-13 19:45:00,Estella E 1106,0.0,0.0,,0.0,0.040920000000000005,,,,0.0,0.0,0.03552,0.0,0.1935,,0.0,0.0
2025-09-13 19:50:00,Estella E 1106,0.0,0.0,0.0814,0.0,0.039850000000000003,0.00879,0.0,0.019940000000000003,0.0,0.0,0.03519,0.0,0.19393000000000002,0.0,0.00029,0.0
2025-09-13 19:55:00,Estella E 1106,0.0,0.0,,0.0,0.03871,,,,0.0,0.0,0.0,0.0,0.1566,,0.0,0.0
2025-09-13 20:00:00,Estella E 1106,0.0,0.0,,0.0,0.03796,,,,0.0,0.0,0.0,0.0,0.15571000000000002,,0.0,0.0
2025-09-13 20:05:00,Estella E 1106,0.0,0.0,0.08134999999999999,0.0,0.03755,0.00865,0.0,0.019760000000000003,0.0,0.0,0.0,0.0,0.15466,0.0,0.00029,0.0
2025-09-13 20:10:00,Estella E 1106,0.0,0.0,0.08134000000000001,0.0,0.03694,0.020390000000000002,0.0,0.019780000000000002,0.0,0.0,0.0,0.0,0.15431,0.0,0.00041999999999999996,0.0
2025-09-13 20:15:00,Estella E 1106,0.0,0.0,,0.0,0.03683,,,,0.0,0.0,0.0,0.0,0.18131999999999998,,0.0,0.0
2025-09-13 20:20:00,Estella E 1106,0.0,0.0,,0.0,0.03657,,,,0.0,0.0,0.0,0.0,0.2033,,0.0,0.0
2025-09-13 20:25:00,Estella E 1106,0.0,0.0,,0.0,0.00011,,,,0.0,0.0,0.0,0.0,0.18766999999999998,,0.0,0.0
2025-09-13 20:30:00,Estella E 1106,0.0,0.0,,0.0,0.00015,,,,0.0,0.0,0.0,0.0,0.18878999999999999,,0.0,0.0
2025-09-13 20:35:00,Estella E 1106,0.0,0.0,,0.0,0.00019,,,,0.0,0.0,0.0,0.0,0.15700999999999998,,0.0,0.0
2025-09-13 20:40:00,Estella E 1106,0.0,0.0,,0.0,0.04976,,,,0.0,0.0,0.0,0.0,0.15816,,0.0,0.0
2025-09-13 20:45:00,Estella E 1106,0.0,0.0,,0.0,0.039979999999999995,,,,,,,,,,0.0,0.0
2025-09-13 20:50:00,Estella E 1106,0.0,0.0,,0.0,0.040619999999999996,,,,,,,,,,0.0,0.0
2025-09-13 20:55:00,Estella E 1106,0.0,0.0,,0.0,0.04056,,,,,,,,,,0.0,0.0
2025-09-13 21:00:00,Estella E 1106,0.0,0.0,0.10956,0.0,0.03943,0.02034,0.0,0.020120000000000002,0.0,0.0,0.0,0.0,0.19716,0.0,0.00041999999999999996,0.0
2025-09-13 21:05:00,Estella E 1106,0.0,0.0,,0.0,0.03778,,,,0.0,0.0,0.0,0.0,0.19581,,0.0,0.0
2025-09-13 21:10:00,Estella E 1106,0.0,0.0,,0.0,0.03736,,,,0.0,0.0,0.0,0.0,0.18525999999999998,,0.0,0.0
2025-09-13 21:15:00,Estella E 1106,0.0,0.0,,0.0,0.03686,,,,0.0,0.0,0.0,0.0,0.18403999999999998,,0.0,0.0
2025-09-13 21:20:00,Estella E 1106,0.0,0.0,,0.0,0.036719999999999996,,,,0.0,0.0,0.0,0.0,0.18444,,0.0,0.0
2025-09-13 21:25:00,Estella E 1106,0.0,0.0,,0.0,0.00020999999999999998,,,,0.0,0.0,0.0,0.0,0.18459,,0.0,0.0
2025-09-13 21:30:00,Estella E 1106,0.0,0.0,,0.0,0.00019,,,,0.0,0.0,0.0,0.0,0.14952000000000001,,0.0,0.0
2025-09-13 21:35:00,Estella E 1106,0.0,0.0,,0.0,0.00023999999999999998,,,,0.0,0.0,0.0,0.0,0.14824,,0.0,0.0
2025-09-13 21:40:00,Estella E 1106,0.0,0.0,,0.0,0.00013000000000000002,,,,0.0,0.0,0.0,0.0,0.14665999999999998,,0.0,0.0
2025-09-13 21:45:00,Estella E 1106,0.0,0.0,,0.0,0.03762,,,,0.0,0.0,0.0,0.0,0.18181999999999998,,0.0,0.0
2025-09-13 21:50:00,Estella E 1106,0.0,0.0,,0.0,0.03823,,,,0.0,0.0,0.03617,0.0,0.22885,,0.0,0.0
2025-09-13 21:55:00,Estella E 1106,0.0,0.0,,0.0,0.03909000000000001,,,,0.0,0.0,0.03538,0.0,0.21706999999999999,,0.0,0.0
2025-09-13 22:00:00,Estella E 1106,0.0,0.0,,0.0,0.038,,,,0.0,0.0,0.03514,0.0,0.21599000000000002,,0.0,0.0
2025-09-13 22:05:00,Estella E 1106,0.0,0.0,,0.0,0.037149999999999996,,,,0.0,0.0,0.03494,0.0,0.21245,,0.0,0.0
2025-09-13 22:10:00,Estella E 1106,0.0,0.0,,0.0,0.037509999999999995,,,,,,,,,,0.0,0.0
2025-09-13 22:15:00,Estella E 1106,0.0,0.0,,0.0,0.03694,,,,,,,,,,0.0,0.0
2025-09-13 22:20:00,Estella E 1106,0.0,0.0,0.10953,0.0,0.03632,0.0,0.0,0.02004,0.0,0.0,0.0,0.0,0.17229,0.0,0.00011,0.0
2025-09-13 22:25:00,Estella E 1106,0.0,0.0,,0.0,0.0002,,,,0.0,0.0,0.0,0.0,0.14654,,0.0,0.0
2025-09-13 22:30:00,Estella E 1106,0.0,0.0,,0.0,0.00020999999999999998,,,,0.0,0.0,0.0,0.0,0.16688,,0.0,0.0
2025-09-13 22:35:00,Estella E 1106,0.0,0.0,,0.0,0.00015,,,,0.0,0.0,0.0,0.0,0.16757,,0.0,0.0
2025-09-13 22:40:00,Estella E 1106,0.0,0.0,0.1092,0.0,0.00031,0.02966,0.0,0.019829999999999997,,,,,,0.0,0.00020999999999999998,0.0
2025-09-13 22:45:00,Estella E 1106,0.0,0.0,,0.0,0.03997,,,,,,,,,,0.0,0.0
2025-09-13 22:50:00,Estella E 1106,0.0,0.0,,0.0,0.04125,,,,,,,,,,0.0,0.0
2025-09-13 22:55:00,Estella E 1106,0.0,0.0,,0.0,0.04097,,,,0.0,0.0,0.0,0.0,0.20393,,0.0,0.0
2025-09-13 23:00:00,Estella E 1106,0.0,0.0,0.10918000000000001,0.0,0.04111,0.01672,0.0,0.0198,0.0,0.0,0.0,0.0,0.19411,0.0,0.0002,0.0
2025-09-13 23:05:00,Estella E 1106,0.0,0.0,,0.0,0.038810000000000004,,,,0.0,0.0,0.0,0.0,0.18977000000000002,,0.0,0.0
2025-09-13 23:10:00,Estella E 1106,0.0,0.0,0.10879000000000001,0.0,0.03767,0.01052,0.0,0.01988,0.0,0.0,0.0,0.0,0.18453999999999998,0.0,0.00026000000000000003,0.0
2025-09-13 23:15:00,Estella E 1106,0.0,0.0,,0.0,0.03719,,,,0.0,0.0,0.0,0.0,0.18472,,0.0,0.0
2025-09-13 23:20:00,Estella E 1106,0.0,0.0,,0.0,0.03655,,,,0.0,0.0,0.0,0.0,0.18771000000000002,,0.0,0.0
2025-09-13 23:25:00,Estella E 1106,0.0,0.0,,0.0,0.03608,,,,,,,,,,0.0,0.0
2025-09-13 23:30:00,Estella E 1106,0.0,0.0,,0.0,0.00016,,,,0.0,0.0,0.0,0.0,0.12707,,0.0,0.0
2025-09-13 23:35:00,Estella E 1106,0.0,0.0,,0.0,0.00025,,,,0.0,0.0,0.0,0.0,0.13036,,0.0,0.0
2025-09-13 23:40:00,Estella E 1106,0.0,0.0,,0.0,8.999999999999999e-05,,,,0.0,0.0,0.0,0.0,0.12674,,0.0,0.0
