Timestamp,Apartment,Marvella G1403 - B Phase,Marvella G1403 - Bed and CT Lights and Fans,Marvella G1403 - Bedroom AC,Marvella G1403 - Common Toilet Geyser,Marvella G1403 - ELV DB Power,Marvella G1403 - Fridge,Marvella G1403 - Kitchen Lights,Marvella G1403 - Living Dining AC,Marvella G1403 - Living and Dining Lights and Fans,Marvella G1403 - Master Bed AC,Marvella G1403 - Master Bed Toilet Lights and Fans,Marvella G1403 - Master Toilet Geyser,Marvella G1403 - Oven,Marvella G1403 - R Phase,Marvella G1403 - Study Room AC,Marvella G1403 - Study Room Lights,Marvella G1403 - Utility Washing Machine,Marvella G1403 - Y Phase
2025-07-12 17:25:00,Marvella G1403,,,,,,,,,,0.0,0.030600000000000002,0.0,,0.03332,0.0,0.0,,
2025-07-12 17:30:00,Marvella G1403,,-0.00011,0.0,0.0,0.00628,,,,,0.0,0.011970000000000001,0.0,,0.01486,0.0,0.0,0.0,0.01008
2025-07-12 17:35:00,Marvella G1403,0.30428,-5.9999999999999995e-05,0.0,0.0,0.005809999999999999,0.054299999999999994,0.0,0.0,0.23817,0.0,0.0033599999999999997,0.0,0.0077599999999999995,0.0062699999999999995,0.0,0.0,0.0,0.00974
2025-07-12 17:40:00,Marvella G1403,0.31841,-2e-05,0.0,0.0,0.00578,0.051,0.0,0.0,0.25647000000000003,0.0,0.00346,0.0,0.00701,0.00622,0.0,0.0,0.0,0.009609999999999999
2025-07-12 17:45:00,Marvella G1403,0.31568,-7.000000000000001e-05,0.0,0.0,0.005730000000000001,0.04938,0.0,0.0,0.25597,0.0,0.00337,0.0,0.00631,0.0060999999999999995,0.0,0.0,0.0,0.00968
2025-07-12 17:50:00,Marvella G1403,0.31674,-0.00011999999999999999,0.0,0.0,0.00656,0.05312,0.0,0.0,0.25318999999999997,0.0,0.0034100000000000003,0.0,0.00656,0.00626,0.0,0.0,0.0,0.01045
2025-07-12 17:55:00,Marvella G1403,0.30913,-4e-05,0.0,0.0,0.005809999999999999,0.04909,0.0,0.0,0.2531,0.0,0.0034,0.0,0.0029,0.0062,0.0,0.0,0.0,0.00965
2025-07-12 18:00:00,Marvella G1403,0.3092,-0.00011999999999999999,0.0,0.0,0.005719999999999999,0.047659999999999994,0.0,0.0,0.25442,0.0,0.00337,0.0,0.00304,0.0062,0.0,0.0,0.0,0.00976
2025-07-12 18:05:00,Marvella G1403,0.23403,-4e-05,0.0,0.0,0.00567,0.04690999999999999,0.0,0.0,0.18006999999999998,0.0,0.0034300000000000003,0.0,0.00297,0.00623,0.0,0.0,0.0,0.00982
2025-07-12 18:10:00,Marvella G1403,0.29494,0.00696,0.0,0.0,0.00574,0.04654,0.0,0.0,0.24136000000000002,0.0,0.0034300000000000003,0.0,0.00298,0.00594,0.0,0.0,0.0,0.01829
